,Date Submitted,Country,Source URL,Device,Browser,Are you a student or a professional?,Medium,OSGroup
0,2018-01-05 02:14:14,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Student                                        ,Others ,Windows
1,2018-01-05 06:55:28,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 58.0,Professional                                        ,Social Media / Online Ads,Windows
2,2018-01-05 07:26:38,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 61.0.3163,Professional                                        ,Social Media / Online Ads,Windows
3,2018-01-05 11:25:02,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Student                                        ,Social Media / Online Ads,Windows
4,2018-01-08 04:47:46,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Search Engine,Windows
5,2018-01-08 07:59:06,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 57.0,Professional                                        ,Search Engine,Windows
6,2018-01-08 12:57:49,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 63.0.3239,Professional                                        ,Search Engine,Android
7,2018-01-09 01:49:49,United States,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Search Engine,Windows
8,2018-01-09 04:39:37,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Friends / Family ,Windows
9,2018-01-10 02:44:36,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Friends / Family ,Windows
10,2018-01-10 13:20:26,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Search Engine,Windows
11,,,,,,Student                                        ,,
12,2018-01-13 00:41:03,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,,Social Media / Online Ads,Windows
13,2018-01-13 00:41:03,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Social Media / Online Ads,Windows
