,User,Date Submitted,Country,Source URL,Device,Browser,OS,How did you hear about us?,Medium,OSGroup
0,00000000,2018-01-05 01:35:47,Indonesia,https://algorit.ma/,desktop,Firefox 57.0,Windows 8.1,Friends / Family -                                                     ,Friends / Family ,Windows
1,00000000,2018-01-05 04:25:43,Indonesia,https://algorit.ma/,desktop,Safari 11.0.1,Mac OS X 10.13.1,Media Publishing,Media Publishing,Mac
2,00000000,2018-01-05 16:36:25,Indonesia,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 10,Friends / Family -                                                     ,Friends / Family ,Windows
3,00000000,2018-01-06 16:40:16,Indonesia,https://algorit.ma/,desktop,Chrome 62.0.3202,Windows 10,Media Publishing,Media Publishing,Windows
4,00000000,2018-01-08 03:45:42,Indonesia,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 10,Search Engine,Search Engine,Windows
5,00000000,2018-01-09 10:58:08,India,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 10,Email,Email,Windows
6,00000000,2018-01-09 11:05:51,India,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 7,Others - ha ha                                                     ,Others ,Windows
7,00000000,2018-01-09 11:12:03,Indonesia,https://algorit.ma/,desktop,Firefox 57.0,Windows 10,Friends / Family -                                                     ,Friends / Family ,Windows
8,00000000,2018-01-09 11:46:05,India,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
9,00000000,2018-01-10 02:28:54,Indonesia,https://algorit.ma/,desktop,Firefox 33.0,Windows 8.1,Search Engine,Search Engine,Windows
10,00000000,2018-01-10 05:55:50,Indonesia,https://algorit.ma/,tablet,Firefox Mobile 57.0,Android 7.0,Friends / Family -                                                     ,Friends / Family ,Android
11,00000000,2018-01-10 06:21:17,Indonesia,https://algorit.ma/,desktop,Chrome 63.0.3239,Mac OS X 10.12.6,Friends / Family -                                                     ,Friends / Family ,Mac
12,00000000,2018-01-10 09:41:41,Indonesia,https://algorit.ma/,desktop,Chrome 63.0.3239,Mac OS X 10.13.1,Search Engine,Search Engine,Mac
13,00000000,2018-01-10 15:52:28,Indonesia,https://algorit.ma/,desktop,Firefox 57.0,Windows 10,Friends / Family -                                                     ,Friends / Family ,Windows
14,00000000,2018-01-11 06:28:11,Indonesia,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
15,00000000,2018-01-11 07:55:39,Indonesia,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 10,Others - tech in asia                                                    ,Others ,Windows
16,00000000,2018-01-11 09:00:47,Indonesia,https://algorit.ma/,desktop,Chrome 63.0.3239,Windows 10,Others - Tech in Asia                                                    ,Others ,Windows
17,00000000,2018-01-12 08:51:37,Indonesia,https://algorit.ma/,phone,Chrome Mobile 56.0.2924,Android 7.1.1,Others -                                                     ,Others ,Android
